item,words,sentences,ave_word_sent,bigword,NonmathWord,prep,passive,confuse,schematic,confuseXschem
1,61,6,10.1667,12,10,2,0,0,1,0
2,25,2,12.5,0,0,1,0,0,1,0
3,15,2,7.5,1,0,2,1,0,1,0
4,26,2,13,4,2,0,1,0,1,0
5,21,2,10.5,3,1,2,0,1,1,1
6,42,2,21,6,5,0,0,0,1,0
7,15,2,7.5,2,0,0,0,0,1,0
8,47,3,15.6667,4,2,0,0,0,1,0
9,26,3,8.6667,2,2,0,0,0,1,0
10,40,3,13.3333,5,1,0,0,0,1,0
11,21,2,10.5,3,1,0,0,0,1,0
12,10,2,5,1,0,0,0,0,1,0
13,7,1,7,1,0,0,0,0,1,0
14,18,2,9,2,1,0,0,0,1,0
15,15,1,15,3,0,2,0,0,0,0
16,38,5,7.6,5,2,0,0,0,0,0
17,38,6,7.6,4,1,0,0,0,0,0
18,5,1,5,1,0,0,0,0,0,0
19,18,1,10,4,0,0,0,0,0,0
20,35,2,17.5,1,0,0,0,0,1,0
21,33,3,11,5,2,0,0,0,0,0
22,24,2,12,2,1,1,1,0,0,0
23,23,2,11.5,2,1,2,1,0,0,0
24,39,3,13,5,4,0,0,0,0,0
25,109,7,15.5714,7,6,2,0,0,1,0
26,26,2,13,5,4,1,0,0,1,0
27,2,1,2,0,0,0,0,0,0,0
28,29,5,5.8,7,3,0,0,0,1,0
29,7,1,7,3,0,0,0,0,1,0
30,45,5,9,8,3,0,0,0,1,0
31,38,3,12.6667,3,2,5,0,0,0,0
32,24,2,12,0,0,1,1,0,0,0
33,43,3,14.3333,6,3,0,1,0,1,0
34,42,4,10.5,1,1,0,0,0,1,0
35,15,2,7.5,2,0,0,1,1,1,1
36,19,2,9.5,3,0,0,0,0,1,0
37,17,2,8.5,3,0,0,1,0,1,0
38,9,2,4.5,1,0,0,1,0,1,0
39,39,1,7.8,3,0,0,0,0,0,0
40,23,3,7.6667,1,0,0,1,0,1,0
41,28,2,14,3,2,3,0,0,0,0
42,59,6,9.8333,5,1,2,0,0,0,0
43,22,3,7.3333,1,0,0,0,0,0,0
44,52,3,17.3333,4,3,0,0,1,1,1
45,40,3,13.3333,4,3,0,0,0,0,0
46,68,2,11.3333,5,3,4,0,0,1,0
47,39,3,5.5714,5,3,2,0,0,0,0
48,46,4,11.5,4,4,3,0,1,0,0
49,8,1,8,1,0,0,0,0,0,0
50,5,1,5,1,0,0,0,0,0,0
51,28,2,14,1,0,0,0,0,0,0
52,10,2,5,1,0,0,1,0,1,0
53,10,2,5,1,0,0,1,0,1,0
54,67,7,9.5714,3,3,0,0,1,1,1
55,2,1,2,0,0,0,0,0,1,0
56,14,2,7,3,0,0,1,0,1,0
57,61,8,7.625,13,5,0,1,0,1,0
58,42,6,7,7,3,0,1,0,1,0
59,11,1,11,5,2,1,0,0,1,0
60,10,2,5,1,0,0,1,0,1,0
61,29,5,5.8,5,2,0,1,1,0,0
62,1,0,1,0,0,0,0,0,0,0
63,18,2,9,2,2,0,0,0,1,0
64,5,1,5,0,0,0,0,0,0,0
65,36,3,12,3,2,0,0,0,1,0
66,29,3,9.6667,3,3,0,0,0,0,0
67,21,2,10.5,3,2,0,0,0,0,0
68,34,3,11.3333,3,2,0,0,1,0,0
69,22,3,7.3333,2,2,0,0,0,0,0
70,68,4,17,9,8,0,0,1,0,0
71,27,3,9,2,0,0,0,1,0,0
72,43,3,14.3333,8,6,0,1,0,0,0
73,45,3,15,3,1,0,0,1,0,0
74,26,3,8.6667,1,0,0,0,0,0,0
75,36,2,18,3,2,0,0,1,0,0
76,30,2,15,8,5,0,0,0,1,0
77,82,8,10.25,6,5,0,0,1,0,0
78,30,2,15,7,7,0,1,0,1,0
79,45,3,15,8,3,0,0,1,1,1
80,23,2,11.5,3,0,0,0,0,0,0
81,32,5,6.4,7,3,0,0,0,0,0
82,7,1,7,3,0,0,0,0,0,0
83,13,1,2.6,6,2,0,0,0,0,0
84,57,6,9.5,9,8,0,0,0,1,0
85,45,6,7.5,11,4,0,1,0,1,0
86,39,5,7.8,8,3,0,0,0,1,0
